mu	singleton_count	variant_count	ps
9.1862e-10	2244	3573	0.62804365
9.4166e-10	1451	2258	0.64260405
9.4450e-10	942	1484	0.6347709
1.0244e-09	749	1241	0.60354555
1.0495e-09	767	1247	0.6150762
1.0670e-09	604	933	0.64737403
1.0799e-09	1873	2984	0.62768096
1.0818e-09	1532	2394	0.63993317
1.0943e-09	293	487	0.6016427
1.1340e-09	2519	4015	0.62739724
1.1486e-09	713	1152	0.6189236
1.1632e-09	5616	8964	0.62650603
1.1890e-09	431	699	0.61659515
1.2103e-09	1554	2494	0.62309545
1.2532e-09	3903	6294	0.6201144
1.3516e-09	1208	1962	0.6156983
1.3560e-09	204	337	0.60534126
1.3911e-09	230	372	0.6182796
1.4118e-09	2206	3572	0.6175812
1.4983e-09	2569	4082	0.62934834
1.6210e-09	9789	15745	0.6217212
1.6675e-09	3679	6045	0.60860217
1.7092e-09	2412	3938	0.61249363
1.7760e-09	8722	14277	0.6109127
1.8172e-09	1232	1954	0.6305015
1.8303e-09	664	1086	0.61141807
1.8485e-09	3140	5356	0.5862584
1.8684e-09	994	1599	0.62163854
1.8687e-09	512	808	0.63366336
1.9615e-09	3541	5706	0.62057483
2.0008e-09	1098	1758	0.62457335
2.0022e-09	1690	2783	0.6072584
2.1414e-09	5369	8746	0.61388063
2.1462e-09	6999	11478	0.60977525
2.2808e-09	2460	4010	0.6134663
2.3044e-09	1350	2205	0.6122449
2.3099e-09	4512	7236	0.6235489
2.3466e-09	1887	3033	0.62215626
2.3710e-09	2269	3642	0.6230093
2.4639e-09	546	867	0.62975776
2.5440e-09	4042	6620	0.610574
2.5995e-09	4909	8017	0.6123238
2.6557e-09	2061	3299	0.62473476
2.6842e-09	5433	8920	0.60908073
2.9242e-09	711	1144	0.6215035
2.9409e-09	1665	2698	0.6171238
3.0181e-09	5900	9782	0.60314864
3.0275e-09	6449	10698	0.60282296
3.0288e-09	10658	18047	0.5905691
3.1245e-09	8602	13987	0.61499965
3.2054e-09	8112	13412	0.6048315
3.3394e-09	5253	8617	0.6096089
3.5919e-09	3523	5841	0.6031501
3.7538e-09	4157	6676	0.6226783
3.8238e-09	12426	21172	0.5869072
3.9291e-09	16792	28152	0.59647626
3.9695e-09	2943	4942	0.5955079
4.1342e-09	6694	11272	0.59386086
4.2353e-09	4846	8067	0.600719
4.9426e-09	1253	2188	0.5726691
5.0796e-09	13452	23213	0.5795029
5.1503e-09	4531	7349	0.61654645
5.1781e-09	7812	13287	0.5879431
5.1901e-09	8750	14634	0.5979226
5.2348e-09	26312	45298	0.5808645
5.2457e-09	10697	19113	0.5596714
5.3443e-09	6050	10249	0.5903015
5.3627e-09	9012	15704	0.57386655
5.5213e-09	2491	4393	0.5670385
5.5597e-09	26565	44656	0.5948809
5.7034e-09	1071	1783	0.600673
5.7989e-09	22572	38026	0.59359384
6.1812e-09	5845	10242	0.5706893
6.6879e-09	2385	4062	0.5871492
6.7244e-09	33171	55638	0.59619325
6.8845e-09	21930	36871	0.5947764
7.6664e-09	19987	34921	0.572349
7.7544e-09	13854	26025	0.53233427
7.7891e-09	31112	53483	0.58171755
7.9566e-09	23122	39624	0.58353525
8.1422e-09	41869	71704	0.5839144
8.5724e-09	22682	39411	0.5755246
8.6359e-09	17850	30954	0.5766621
8.8520e-09	7642	13258	0.5764067
9.3201e-09	26030	45059	0.577687
9.9720e-09	18354	32187	0.57023025
1.1196e-08	11447	21125	0.5418698
1.1275e-08	29599	53681	0.5513869
1.4846e-08	2057	4075	0.5047853
1.9329e-08	1213	2354	0.5152931
2.0993e-08	3030	6212	0.4877656
2.6612e-08	1588	3222	0.49286157
7.0178e-08	976	2730	0.35750917
7.2389e-08	794	2273	0.3493181
8.2387e-08	1554	4801	0.32368258
1.0005e-07	16233	60178	0.26974973
1.0750e-07	1190	4278	0.27816737
1.2296e-07	17213	71462	0.24086927
1.2483e-07	23857	109193	0.2184847
1.4169e-07	16388	82578	0.1984548
